	input	output	language
28	"Eduardo Vio Grossi
Judge
Pablo Saavedra Alessandri
Secretary"	Eduardo Vio Grossi	en
29	"Antônio Augusto Cançado Trindade
Judge
Manuel E. Ventura-Robles
Secretary"	Antônio Augusto Cançado Trindade	en
30	"Antônio Augusto Cançado Trindade
Judge
Pablo Saavedra-Alessandri
Secretary"	Antônio Augusto Cançado Trindade	en
31	"Carlos Vicente de Roux-Rengifo
Judge
Manuel E. Ventura-Robles
Secretary"	Carlos Vicente de Roux-Rengifo	en
32	"Antônio Augusto Cançado Trindade
Judge
Emilia Segares Rodríguez
Deputy Secretary"	Antônio Augusto Cançado Trindade	en
33	"Carlos Vicente de Roux-Rengifo
Judge
Manuel E. Ventura-Robles
Secretary"	Carlos Vicente de Roux-Rengifo	en
34	"Sergio García Ramírez
Judge
Pablo Saavedra Alessandri
Secretary"	Sergio García Ramírez	en
35	"Pablo Saavedra-Alessandri
Secretary
Cecila Medina-Quiroga
Judge"	Cecila Medina-Quiroga	en
36	"D) Dangerousness of the agent
E) Pardon
Sergio García Ramírez
Judge
Pablo Saavedra Alessandri
Secretary"	Sergio García Ramírez	en
37	"Right to a Fair Trial
Alfonso Novales-Aguirre
Judge
Manuel E. Ventura-Robles
Secretary"	Alfonso Novales-Aguirre	en
38	"Pablo Saavedra-Alessandri
Secretary
Sergio García-Ramírez
Judge"	Sergio García-Ramírez	en
39	"Antônio Augusto Cançado Trindade
Judge
Pablo Saavedra-Alessandri
Secretary"	Antônio Augusto Cançado Trindade	en
40	"Antônio Augusto Cançado Trindade
Judge
Pablo Saavedra-Alessandri
Secretary"	Antônio Augusto Cançado Trindade	en
41	"Sergio García-Ramírez
Judge
Pablo Saavedra-Alessandri
Secretary"	Sergio García-Ramírez	en
42	"Sergio García-Ramírez
Judge
Pablo Saavedra Alessandri
Secretary"	Sergio García-Ramírez	en
43	"and that:
but also includes
Alberto Pérez Pérez
Judge
Pablo Saavedra Alessandri
Secretary"	Alberto Pérez Pérez	en
44	"Sergio García Ramírez
Judge
Pablo Saavedra Alessandri
Secretary"	Sergio García Ramírez	en
45	"VIII. Epilogue
Antônio Augusto Cançado Trindade
Judge
Pablo Saavedra Alessandri
Secretary"	Antônio Augusto Cançado Trindade	en
46	"Alberto Pérez Pérez
Judge
Pablo Saavedra Alessandri
Secretary"	Alberto Pérez Pérez	en
47	"Diego García-Sayan
Judge
Pablo Saavedra Alessandri
Secretary
Rhadys Abreu Blondet
Judge
Pablo Saavedra Alessandri
Secretary"	"Diego García-Sayan
Rhadys Abreu Blondet"	en
48	"Sergio García-Ramírez
Judge
Manuel E. Ventura-Robles
Secretary"	Sergio García-Ramírez	en
49	"Eduardo Ferrer Mac-Gregor Poisot
Judge
Pablo Saavedra Alessandri
Secretary"	Eduardo Ferrer Mac-Gregor Poisot	en
50	"Sergio García-Ramírez
Judge
Manuel E. Ventura-Robles
Secretary"	Sergio García-Ramírez	en
51	"Sergio García-Ramírez
Judge
Pablo Saavedra-Alessandri
Secretary"	Sergio García-Ramírez	en
52	"Justification
Alberto Pérez Pérez
Judge
Pablo Saavedra Alessandri
Secretary"	Alberto Pérez Pérez	en
53	"Diego García-Sayán
Judge
Pablo Saavedra Alessandri
Secretary"	Diego García-Sayán	en
54	"Diego García-Sayán
Judge
Pablo Saavedra Alessandri
Secretary"	Diego García-Sayán	en
55	"Pablo Saavedra Alessandri
Secretary
Eduardo Vio Grossi
Judge"	Eduardo Vio Grossi	en
56	"Pablo Saavedra Alessandri
Secretary
Margarette May Macaulay
Judge"	Margarette May Macaulay	en
57	"Sergio García Ramírez
Judge
Pablo Saavedra Alessandri
Secretary"	Sergio García Ramírez	en
58	"Antônio Augusto Cançado Trindade
Judge
Pablo Saavedra-Alessandri
Secretary"	Antônio Augusto Cançado Trindade	en
59	"Pablo Saavedra-Alessandri
Secretary
Hernán Salgado-Pesantes
Judge"	Hernán Salgado-Pesantes	en
60	"IV.
Conclusions
Alberto Pérez Pérez
Judge
Pablo Saavedra Alessandri
Secretary"	Alberto Pérez Pérez	en
61	"This does not mean to say that
This was justified
Eduardo Ferrer Mac-Gregor Poisot
Judge
Pablo Saavedra Alessandri
Secretary"	Eduardo Ferrer Mac-Gregor Poisot	en
62	"III.
Reasonable time
Sergio García Ramírez
Judge
Pablo Saavedra Alessandri
Secretary"	Sergio García Ramírez	en
63	"Sergio García Ramírez
Judge
Pablo Saavedra Alessandri
Secretary"	Sergio García Ramírez	en
64	"Alberto Pérez Pérez
Judge
Pablo Saavedra Alessandri
Secretary"	Alberto Pérez Pérez	en
65	"Eduardo Vio Grossi
Judge
Pablo Saavedra Alessandri
Registrar"	Eduardo Vio Grossi	en
66	", - as
Antônio Augusto Cançado Trindade
Judge
Manuel E. Ventura-Robles
Secretary"	Antônio Augusto Cançado Trindade	en
