	input	output	language
56	[Adopted by a recorded vote of 23 to 2, with 22 abstentions. The voting was as follows:	Adopted by vote	en
57	[Adopted without a vote.]	Adopted without a vote	en
58	[Adopted by a recorded vote of 29 to 4, with 14 abstentions. The voting was as follows:	Adopted by vote	en
59	[Adopted without a vote.]	Adopted without a vote	en
60	[Adopted without a vote.]	Adopted without a vote	en
61	[Adopted by a recorded vote of 45 to 1, with 1 abstention. The voting was as follows:	Adopted by vote	en
62	[Adopted without a vote.]	Adopted without a vote	en
63	[Adopted without a vote.]	Adopted without a vote	en
64	[Adopted without a vote.]	Adopted without a vote	en
65	[Adopted without a vote.]	Adopted without a vote	en
66	[Adopted by a recorded vote of 32 to 5, with 10 abstentions. The voting was as follows:	Adopted by vote	en
67	[Adopted without a vote.]	Adopted without a vote	en
68	[Adopted by a recorded vote of 34 to 2, with 11 abstentions. The voting was as follows:	Adopted by vote	en
69	[Adopted by a recorded vote of 28 to 0, with 19 abstentions. The voting was as follows:	Adopted by vote	en
70	[Adopted by a recorded vote of 27 to 7, with 13 abstentions. The voting was as follows:	Adopted by vote	en
71	[Adopted by a recorded vote of 22 to 11, with 14 abstentions. The voting was as follows:	Adopted by vote	en
72	[Adopted without a vote.]	Adopted without a vote	en
73	[Adopted by a recorded vote of 27 to 13, with 7 abstentions. The voting was as follows:	Adopted by vote	en
74	[Adopted without a vote.]	Adopted without a vote	en
75	[Adopted without a vote.]	Adopted without a vote	en
76	[Adopted without a vote.]	Adopted without a vote	en
77	[Adopted without a vote.]	Adopted without a vote	en
78	[Adopted without a vote.]	Adopted without a vote	en
79	[Adopted without a vote.]	Adopted without a vote	en
80	[Adopted by a recorded vote of 30 to 15, with 1 abstention. The voting was as follows:	Adopted by vote	en
81	[Adopted by a recorded vote of 31 to 11, with 4 abstentions. The voting was as follows:	Adopted by vote	en
82	[Adopted without a vote.]	Adopted without a vote	en
83	[Adopted without a vote.]	Adopted without a vote	en
84	[Adopted without a vote.]	Adopted without a vote	en
85	[Adopted without a vote.]	Adopted without a vote	en
86	[Adopted by a recorded vote of 32 to 15, with no abstentions. The voting was as follows:	Adopted by vote	en
87	[Adopted by a recorded vote of to 15, with no abstentions. The voting was as follows:	Adopted by vote	en
88	[Adopted by a recorded vote of 23 to 14, with 9 abstentions. The voting was as follows:	Adopted by vote	en
89	[Adopted by a recorded vote of 31 to 15, with 1 abstention. The voting was as follows:	Adopted by vote	en
90	[Adopted without a vote.]	Adopted without a vote	en
91	[Adopted without a vote.]	Adopted without a vote	en
92	[Adopted without a vote.]	Adopted without a vote	en
93	[Adopted without a vote.]	Adopted without a vote	en
94	[Adopted by a recorded vote of 22 to 6, with 19 abstentions. The voting was as follows:	Adopted by vote	en
95	[Adopted without a vote.]	Adopted without a vote	en
96	[Adopted without a vote.]	Adopted without a vote	en
97	[Adopted without a vote.]	Adopted without a vote	en
98	[Adopted by a recorded vote of 18 to 8, with 21 abstentions. The voting was as follows:	Adopted by vote	en
99	[Adopted by a recorded vote of 27 to 8, with 12 abstentions. The voting was as follows:	Adopted by vote	en
